(xor (xor _F2 _F3) _F8)
ECU;BodyControl;(or _F2 _F3)
ECU;BrakingControl;(or _F8 _F3)
VirtualDevice;HumanMachineInterface;(or _F2 _F3)
VirtualDevice;SituationManagement;(or _F8 _F3)
Distributable;Display1;(or _F2 _F3)
Distributable;ABSController;(or _F8 _F3)
ExecFrame;De_ActivateACC;(or _F2 _F3)
ExecFrame;De_ActivateABS;(or _F8 _F3)
Signal;TurnAccon;(or _F2 _F3)
Signal;TurnAccoff;(or _F2 _F3)
Signal;SetABSstate;(or _F8 _F3)
Signal;SetABSoff;(or _F8 _F3)
VirtualDevice;ECU;BodyControl;VirtualDevice;Display1;(or _F2 _F3)
VirtualDevice;ECU;BrakingControl;VirtualDevice;ABSController;(or _F8 _F3)
Distributable;VirtualDevice;HumanMachineInterface;Distributable;Display1;(or _F2 _F3)
Distributable;VirtualDevice;SituationManagement;Distributable;ABSController;(or _F2 _F3)
ExecFrame;Distributable;Display1;ExecFrame;De_ActivateACC;(or _F2 _F3)
ExecFrame;Distributable;ABSController;ExecFrame;De_ActivateABS;(or _F8 _F3)
Required;ExecFrame;De_ActivateACC;Signal;TurnAccon;(or _F2 _F3)
Required;ExecFrame;De_ActivateACC;Signal;TurnAccoff;(or _F2 _F3)
Required;ExecFrame;De_ActivateACC;Signal;SetABSoff;_F3
Required;ExecFrame;De_ActivateABS;Signal;SetABSstate;(or _F8 _F3)
Required;ExecFrame;De_ActivateABS;Signal;SetABSoff;(or _F8 _F3)
Required;ExecFrame;De_ActivateABS;Signal;TurnAccoff;_F3
